Node_index        Node_State            Parent_Node_index 
    1             [4 7 0 1 2 8 3 5 6]             0
    2             [4 0 7 1 2 8 3 5 6]             1
    3             [4 7 8 1 2 0 3 5 6]             1
    4             [0 4 7 1 2 8 3 5 6]             2
    5             [4 2 7 1 0 8 3 5 6]             2
    6             [4 7 8 1 0 2 3 5 6]             3
    7             [4 7 8 1 2 6 3 5 0]             3
    8             [4 0 7 1 2 8 3 5 6]             4
    9             [1 4 7 0 2 8 3 5 6]             4
    10             [4 2 7 0 1 8 3 5 6]             5
    11             [4 0 7 1 2 8 3 5 6]             5
    12             [4 2 7 1 8 0 3 5 6]             5
    13             [4 2 7 1 5 8 3 0 6]             5
    14             [4 7 8 0 1 2 3 5 6]             6
    15             [4 0 8 1 7 2 3 5 6]             6
    16             [4 7 8 1 2 0 3 5 6]             6
    17             [4 7 8 1 5 2 3 0 6]             6
    18             [4 7 8 1 2 6 3 0 5]             7
    19             [4 7 8 1 2 0 3 5 6]             7
    20             [0 4 7 1 2 8 3 5 6]             8
    21             [4 2 7 1 0 8 3 5 6]             8
    22             [0 4 7 1 2 8 3 5 6]             9
    23             [1 4 7 2 0 8 3 5 6]             9
    24             [1 4 7 3 2 8 0 5 6]             9
    25             [0 2 7 4 1 8 3 5 6]             10
    26             [4 2 7 1 0 8 3 5 6]             10
    27             [4 2 7 3 1 8 0 5 6]             10
    28             [0 4 7 1 2 8 3 5 6]             11
    29             [4 2 7 1 0 8 3 5 6]             11
    30             [4 2 7 1 0 8 3 5 6]             12
    31             [4 2 0 1 8 7 3 5 6]             12
    32             [4 2 7 1 8 6 3 5 0]             12
    33             [4 2 7 1 5 8 0 3 6]             13
    34             [4 2 7 1 0 8 3 5 6]             13
    35             [4 2 7 1 5 8 3 6 0]             13
    36             [0 7 8 4 1 2 3 5 6]             14
    37             [4 7 8 1 0 2 3 5 6]             14
    38             [4 7 8 3 1 2 0 5 6]             14
    39             [0 4 8 1 7 2 3 5 6]             15
    40             [4 8 0 1 7 2 3 5 6]             15
    41             [4 7 8 1 0 2 3 5 6]             15
    42             [4 7 8 1 0 2 3 5 6]             16
    43             [4 7 8 1 2 6 3 5 0]             16
    44             [4 7 8 1 5 2 0 3 6]             17
    45             [4 7 8 1 0 2 3 5 6]             17
    46             [4 7 8 1 5 2 3 6 0]             17
    47             [4 7 8 1 2 6 0 3 5]             18
    48             [4 7 8 1 0 6 3 2 5]             18
    49             [4 7 8 1 2 6 3 5 0]             18
    50             [4 7 8 1 0 2 3 5 6]             19
    51             [4 7 8 1 2 6 3 5 0]             19
    52             [4 0 7 1 2 8 3 5 6]             20
    53             [1 4 7 0 2 8 3 5 6]             20
    54             [4 2 7 0 1 8 3 5 6]             21
    55             [4 0 7 1 2 8 3 5 6]             21
    56             [4 2 7 1 8 0 3 5 6]             21
    57             [4 2 7 1 5 8 3 0 6]             21
    58             [4 0 7 1 2 8 3 5 6]             22
    59             [1 4 7 0 2 8 3 5 6]             22
    60             [1 4 7 0 2 8 3 5 6]             23
    61             [1 0 7 2 4 8 3 5 6]             23
    62             [1 4 7 2 8 0 3 5 6]             23
    63             [1 4 7 2 5 8 3 0 6]             23
    64             [1 4 7 0 2 8 3 5 6]             24
    65             [1 4 7 3 2 8 5 0 6]             24
    66             [2 0 7 4 1 8 3 5 6]             25
    67             [4 2 7 0 1 8 3 5 6]             25
    68             [4 2 7 0 1 8 3 5 6]             26
    69             [4 0 7 1 2 8 3 5 6]             26
    70             [4 2 7 1 8 0 3 5 6]             26
    71             [4 2 7 1 5 8 3 0 6]             26
    72             [4 2 7 0 1 8 3 5 6]             27
    73             [4 2 7 3 1 8 5 0 6]             27
    74             [4 0 7 1 2 8 3 5 6]             28
    75             [1 4 7 0 2 8 3 5 6]             28
    76             [4 2 7 0 1 8 3 5 6]             29
    77             [4 0 7 1 2 8 3 5 6]             29
    78             [4 2 7 1 8 0 3 5 6]             29
    79             [4 2 7 1 5 8 3 0 6]             29
    80             [4 2 7 0 1 8 3 5 6]             30
    81             [4 0 7 1 2 8 3 5 6]             30
    82             [4 2 7 1 8 0 3 5 6]             30
    83             [4 2 7 1 5 8 3 0 6]             30
    84             [4 0 2 1 8 7 3 5 6]             31
    85             [4 2 7 1 8 0 3 5 6]             31
    86             [4 2 7 1 8 6 3 0 5]             32
    87             [4 2 7 1 8 0 3 5 6]             32
    88             [4 2 7 0 5 8 1 3 6]             33
    89             [4 2 7 1 5 8 3 0 6]             33
    90             [4 2 7 0 1 8 3 5 6]             34
    91             [4 0 7 1 2 8 3 5 6]             34
    92             [4 2 7 1 8 0 3 5 6]             34
    93             [4 2 7 1 5 8 3 0 6]             34
    94             [4 2 7 1 5 8 3 0 6]             35
    95             [4 2 7 1 5 0 3 6 8]             35
    96             [7 0 8 4 1 2 3 5 6]             36
    97             [4 7 8 0 1 2 3 5 6]             36
    98             [4 7 8 0 1 2 3 5 6]             37
    99             [4 0 8 1 7 2 3 5 6]             37
    100             [4 7 8 1 2 0 3 5 6]             37
    101             [4 7 8 1 5 2 3 0 6]             37
    102             [4 7 8 0 1 2 3 5 6]             38
    103             [4 7 8 3 1 2 5 0 6]             38
    104             [4 0 8 1 7 2 3 5 6]             39
    105             [1 4 8 0 7 2 3 5 6]             39
    106             [4 0 8 1 7 2 3 5 6]             40
    107             [4 8 2 1 7 0 3 5 6]             40
    108             [4 7 8 0 1 2 3 5 6]             41
    109             [4 0 8 1 7 2 3 5 6]             41
    110             [4 7 8 1 2 0 3 5 6]             41
    111             [4 7 8 1 5 2 3 0 6]             41
    112             [4 7 8 0 1 2 3 5 6]             42
    113             [4 0 8 1 7 2 3 5 6]             42
    114             [4 7 8 1 2 0 3 5 6]             42
    115             [4 7 8 1 5 2 3 0 6]             42
    116             [4 7 8 1 2 6 3 0 5]             43
    117             [4 7 8 1 2 0 3 5 6]             43
    118             [4 7 8 0 5 2 1 3 6]             44
    119             [4 7 8 1 5 2 3 0 6]             44
    120             [4 7 8 0 1 2 3 5 6]             45
    121             [4 0 8 1 7 2 3 5 6]             45
    122             [4 7 8 1 2 0 3 5 6]             45
    123             [4 7 8 1 5 2 3 0 6]             45
    124             [4 7 8 1 5 2 3 0 6]             46
    125             [4 7 8 1 5 0 3 6 2]             46
    126             [4 7 8 0 2 6 1 3 5]             47
    127             [4 7 8 1 2 6 3 0 5]             47
    128             [4 7 8 0 1 6 3 2 5]             48
    129             [4 0 8 1 7 6 3 2 5]             48
    130             [4 7 8 1 6 0 3 2 5]             48
    131             [4 7 8 1 2 6 3 0 5]             48
    132             [4 7 8 1 2 6 3 0 5]             49
    133             [4 7 8 1 2 0 3 5 6]             49
    134             [4 7 8 0 1 2 3 5 6]             50
    135             [4 0 8 1 7 2 3 5 6]             50
    136             [4 7 8 1 2 0 3 5 6]             50
    137             [4 7 8 1 5 2 3 0 6]             50
    138             [4 7 8 1 2 6 3 0 5]             51
    139             [4 7 8 1 2 0 3 5 6]             51
    140             [0 4 7 1 2 8 3 5 6]             52
    141             [4 2 7 1 0 8 3 5 6]             52
    142             [0 4 7 1 2 8 3 5 6]             53
    143             [1 4 7 2 0 8 3 5 6]             53
    144             [1 4 7 3 2 8 0 5 6]             53
    145             [0 2 7 4 1 8 3 5 6]             54
    146             [4 2 7 1 0 8 3 5 6]             54
    147             [4 2 7 3 1 8 0 5 6]             54
    148             [0 4 7 1 2 8 3 5 6]             55
    149             [4 2 7 1 0 8 3 5 6]             55
    150             [4 2 7 1 0 8 3 5 6]             56
    151             [4 2 0 1 8 7 3 5 6]             56
    152             [4 2 7 1 8 6 3 5 0]             56
    153             [4 2 7 1 5 8 0 3 6]             57
    154             [4 2 7 1 0 8 3 5 6]             57
    155             [4 2 7 1 5 8 3 6 0]             57
